Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,4.7uF,C98192
C2,0603,1,15nF,C107076
C3,0603,1,100nF,C14663
C4,0603,1,390pF,C107089
C5,2220,1,68uF,C342299
D1,0603,1,RED,C84263
D2,0603,1,GREEN,C84267
D3,D_SMA,1,B340A-13-F,C85098
J1,MX2EDGR-5.08-GN01-02P-Cu-A,1,TB_1x2_5.08mm_RA,C5187973
"J10, J11, J3, J4, J5, J6, J7, J8, J9",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,9,S4B-XH-A(LF)(SN),C157925
L1,L_Taiyo-Yuden_NR-60xx,1,6.8uH,C192303
R1,0603,1,45K3,C245971
R2,0603,1,4K7,C99782
R3,0603,1,1K,C22548
R4,0603,1,68K,C114633
R5,0603,1,12K,C114659
U1,MODULE_NUCLEO-F446RE,1,NUCLEO-F446RE,-
U2,VREG_LM5017MR_NOPB,1,LMR16030SDDAR,C136648
